                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6957,                 5.3356,                 1.1854,                 0.4006,                0.30417,                 0.2774,                0.15818,                 1.6302,                 2.6054,                 1.1639,             0.00010064,             0.00010064,             0.00010064
                      2,                 1.6115,                 3.3912,                 1.1243,                0.71258,                0.57161,                0.65466,                0.35748,                 1.5878,                 1.7874,                 1.1525,             0.00019765,             0.00019765,             0.00019765
                      3,                  1.554,                 2.5142,                 1.1136,                0.72588,                0.65979,                0.74703,                0.39532,                 1.6243,                 1.5468,                 1.1721,             0.00029066,             0.00029066,             0.00029066
                      4,                 1.5126,                 2.0093,                 1.0951,                0.81549,                0.72791,                0.80041,                0.42981,                 1.6063,                 1.4093,                 1.1572,               0.000285,               0.000285,               0.000285
                      5,                 1.4968,                 1.6656,                 1.1057,                0.87814,                0.74825,                0.84015,                0.46508,                 1.5538,                 1.2297,                  1.161,               0.000279,               0.000279,               0.000279
                      6,                 1.4838,                 1.4387,                 1.1012,                0.86317,                0.76889,                0.83951,                0.47224,                 1.5287,                 1.2237,                 1.1559,               0.000273,               0.000273,               0.000273
                      7,                 1.4575,                 1.2905,                 1.0854,                0.83362,                0.76976,                0.83216,                0.46764,                 1.5374,                 1.1714,                 1.1528,               0.000267,               0.000267,               0.000267
                      8,                 1.4354,                 1.1747,                 1.0831,                0.86058,                0.78138,                 0.8493,                0.49024,                 1.5258,                 1.1659,                 1.1495,               0.000261,               0.000261,               0.000261
                      9,                 1.4366,                 1.0875,                 1.0835,                0.87775,                0.79809,                0.86181,                0.48187,                 1.5423,                 1.1304,                 1.1482,               0.000255,               0.000255,               0.000255
                     10,                 1.4096,                 1.0296,                 1.0796,                0.89041,                0.83083,                0.87753,                0.49444,                 1.5132,                 1.0291,                 1.1381,             0.00024901,             0.00024901,             0.00024901
                     11,                  1.406,                0.96938,                 1.0707,                0.88057,                0.80414,                0.86238,                0.48847,                 1.5305,                 1.0589,                 1.1516,             0.00024301,             0.00024301,             0.00024301
